#BBN prediction of the primordial Helium abundance $Y_p$ as 
#function of the baryon density $\omega_b h^2$ and number of 
#extra radiation degrees of freedom $\Delta N$.
#Calculated from PArthENoPE by Ofelia Pisanti May 2017. Errors are not given. 
#neutron lifetime of 880.2 s and CMB temperature 2.7255 K
#Yp^BBN is the BBN-standard nucleon number fraction, Yp is the mass fraction for CMB codes
#Mapping between ombh2, Yp and eta10 is not quite consistent to 0.1% level except at DeltaN=0
#      ombh2        eta10       DeltaN           Yp       Yp^BBN     sigma_Yp          D/H     err_D/H

     0.00499      1.36640     -3.00000      0.17644      0.17748      0.00000    1.590e-04     0.00e+00
     0.00599      1.63967     -3.00000      0.17896      0.18001      0.00000    1.194e-04     0.00e+00
     0.00699      1.91295     -3.00000      0.18092      0.18198      0.00000    9.381e-05     0.00e+00
     0.00799      2.18623     -3.00000      0.18252      0.18359      0.00000    7.619e-05     0.00e+00
     0.00898      2.45951     -3.00000      0.18387      0.18495      0.00000    6.341e-05     0.00e+00
     0.00998      2.73279     -3.00000      0.18503      0.18611      0.00000    5.379e-05     0.00e+00
     0.01098      3.00607     -3.00000      0.18603      0.18712      0.00000    4.632e-05     0.00e+00
     0.01198      3.27935     -3.00000      0.18696      0.18805      0.00000    4.038e-05     0.00e+00
     0.01298      3.55263     -3.00000      0.18778      0.18887      0.00000    3.554e-05     0.00e+00
     0.01398      3.82591     -3.00000      0.18852      0.18962      0.00000    3.155e-05     0.00e+00
     0.01497      4.09918     -3.00000      0.18922      0.19032      0.00000    2.820e-05     0.00e+00
     0.01597      4.37246     -3.00000      0.18985      0.19095      0.00000    2.535e-05     0.00e+00
     0.01697      4.64574     -3.00000      0.19045      0.19155      0.00000    2.290e-05     0.00e+00
     0.01797      4.91902     -3.00000      0.19100      0.19211      0.00000    2.078e-05     0.00e+00
     0.01897      5.19230     -3.00000      0.19152      0.19263      0.00000    1.893e-05     0.00e+00
     0.01997      5.46558     -3.00000      0.19202      0.19313      0.00000    1.730e-05     0.00e+00
     0.02021      5.53390     -3.00000      0.19214      0.19325      0.00000    1.693e-05     0.00e+00
     0.02046      5.60222     -3.00000      0.19226      0.19337      0.00000    1.656e-05     0.00e+00
     0.02071      5.67054     -3.00000      0.19236      0.19347      0.00000    1.621e-05     0.00e+00
     0.02096      5.73886     -3.00000      0.19248      0.19359      0.00000    1.586e-05     0.00e+00
     0.02121      5.80718     -3.00000      0.19260      0.19371      0.00000    1.553e-05     0.00e+00
     0.02146      5.87550     -3.00000      0.19271      0.19382      0.00000    1.520e-05     0.00e+00
     0.02171      5.94382     -3.00000      0.19281      0.19393      0.00000    1.489e-05     0.00e+00
     0.02196      6.01214     -3.00000      0.19292      0.19404      0.00000    1.458e-05     0.00e+00
     0.02221      6.08046     -3.00000      0.19301      0.19413      0.00000    1.428e-05     0.00e+00
     0.02246      6.14878     -3.00000      0.19313      0.19425      0.00000    1.399e-05     0.00e+00
     0.02271      6.21710     -3.00000      0.19323      0.19435      0.00000    1.371e-05     0.00e+00
     0.02296      6.28542     -3.00000      0.19334      0.19446      0.00000    1.343e-05     0.00e+00
     0.02321      6.35374     -3.00000      0.19343      0.19455      0.00000    1.316e-05     0.00e+00
     0.02346      6.42206     -3.00000      0.19354      0.19466      0.00000    1.290e-05     0.00e+00
     0.02371      6.49038     -3.00000      0.19363      0.19475      0.00000    1.265e-05     0.00e+00
     0.02396      6.55870     -3.00000      0.19372      0.19484      0.00000    1.240e-05     0.00e+00
     0.02496      6.83198     -3.00000      0.19411      0.19523      0.00000    1.147e-05     0.00e+00
     0.02595      7.10525     -3.00000      0.19449      0.19561      0.00000    1.063e-05     0.00e+00
     0.02695      7.37853     -3.00000      0.19482      0.19594      0.00000    9.860e-06     0.00e+00
     0.02795      7.65181     -3.00000      0.19517      0.19630      0.00000    9.163e-06     0.00e+00
     0.02895      7.92509     -3.00000      0.19549      0.19662      0.00000    8.526e-06     0.00e+00
     0.02995      8.19837     -3.00000      0.19579      0.19692      0.00000    7.942e-06     0.00e+00
     0.03094      8.47165     -3.00000      0.19610      0.19723      0.00000    7.407e-06     0.00e+00
     0.03194      8.74493     -3.00000      0.19638      0.19751      0.00000    6.913e-06     0.00e+00
     0.03294      9.01821     -3.00000      0.19667      0.19780      0.00000    6.459e-06     0.00e+00
     0.03394      9.29149     -3.00000      0.19695      0.19808      0.00000    6.040e-06     0.00e+00
     0.03494      9.56477     -3.00000      0.19721      0.19834      0.00000    5.652e-06     0.00e+00
     0.03594      9.83804     -3.00000      0.19746      0.19860      0.00000    5.293e-06     0.00e+00
     0.03693     10.11130     -3.00000      0.19771      0.19885      0.00000    4.960e-06     0.00e+00
     0.03793     10.38460     -3.00000      0.19793      0.19907      0.00000    4.651e-06     0.00e+00
     0.03893     10.65790     -3.00000      0.19819      0.19933      0.00000    4.364e-06     0.00e+00
     0.03993     10.93120     -3.00000      0.19841      0.19955      0.00000    4.110e-06     0.00e+00
     0.00499      1.36640     -2.00000      0.19650      0.19763      0.00000    1.973e-04     0.00e+00
     0.00599      1.63967     -2.00000      0.19921      0.20035      0.00000    1.473e-04     0.00e+00
     0.00699      1.91295     -2.00000      0.20132      0.20247      0.00000    1.153e-04     0.00e+00
     0.00799      2.18623     -2.00000      0.20299      0.20415      0.00000    9.335e-05     0.00e+00
     0.00898      2.45951     -2.00000      0.20440      0.20557      0.00000    7.755e-05     0.00e+00
     0.00998      2.73279     -2.00000      0.20563      0.20680      0.00000    6.572e-05     0.00e+00
     0.01098      3.00607     -2.00000      0.20669      0.20786      0.00000    5.657e-05     0.00e+00
     0.01198      3.27935     -2.00000      0.20764      0.20882      0.00000    4.933e-05     0.00e+00
     0.01298      3.55263     -2.00000      0.20849      0.20967      0.00000    4.346e-05     0.00e+00
     0.01398      3.82591     -2.00000      0.20925      0.21044      0.00000    3.861e-05     0.00e+00
     0.01497      4.09918     -2.00000      0.20996      0.21115      0.00000    3.456e-05     0.00e+00
     0.01597      4.37246     -2.00000      0.21061      0.21180      0.00000    3.113e-05     0.00e+00
     0.01697      4.64574     -2.00000      0.21123      0.21242      0.00000    2.819e-05     0.00e+00
     0.01797      4.91902     -2.00000      0.21177      0.21297      0.00000    2.565e-05     0.00e+00
     0.01897      5.19230     -2.00000      0.21230      0.21350      0.00000    2.343e-05     0.00e+00
     0.01997      5.46558     -2.00000      0.21281      0.21401      0.00000    2.147e-05     0.00e+00
     0.02021      5.53390     -2.00000      0.21292      0.21412      0.00000    2.102e-05     0.00e+00
     0.02046      5.60222     -2.00000      0.21305      0.21425      0.00000    2.058e-05     0.00e+00
     0.02071      5.67054     -2.00000      0.21316      0.21436      0.00000    2.016e-05     0.00e+00
     0.02096      5.73886     -2.00000      0.21328      0.21448      0.00000    1.975e-05     0.00e+00
     0.02121      5.80718     -2.00000      0.21340      0.21460      0.00000    1.935e-05     0.00e+00
     0.02146      5.87550     -2.00000      0.21350      0.21470      0.00000    1.895e-05     0.00e+00
     0.02171      5.94382     -2.00000      0.21361      0.21481      0.00000    1.858e-05     0.00e+00
     0.02196      6.01214     -2.00000      0.21372      0.21492      0.00000    1.821e-05     0.00e+00
     0.02221      6.08046     -2.00000      0.21384      0.21504      0.00000    1.785e-05     0.00e+00
     0.02246      6.14878     -2.00000      0.21395      0.21516      0.00000    1.750e-05     0.00e+00
     0.02271      6.21710     -2.00000      0.21403      0.21524      0.00000    1.716e-05     0.00e+00
     0.02296      6.28542     -2.00000      0.21414      0.21535      0.00000    1.683e-05     0.00e+00
     0.02321      6.35374     -2.00000      0.21424      0.21545      0.00000    1.651e-05     0.00e+00
     0.02346      6.42206     -2.00000      0.21435      0.21556      0.00000    1.620e-05     0.00e+00
     0.02371      6.49038     -2.00000      0.21445      0.21566      0.00000    1.589e-05     0.00e+00
     0.02396      6.55870     -2.00000      0.21455      0.21576      0.00000    1.559e-05     0.00e+00
     0.02496      6.83198     -2.00000      0.21493      0.21614      0.00000    1.448e-05     0.00e+00
     0.02595      7.10525     -2.00000      0.21531      0.21652      0.00000    1.346e-05     0.00e+00
     0.02695      7.37853     -2.00000      0.21566      0.21687      0.00000    1.254e-05     0.00e+00
     0.02795      7.65181     -2.00000      0.21600      0.21721      0.00000    1.170e-05     0.00e+00
     0.02895      7.92509     -2.00000      0.21634      0.21755      0.00000    1.093e-05     0.00e+00
     0.02995      8.19837     -2.00000      0.21663      0.21785      0.00000    1.023e-05     0.00e+00
     0.03094      8.47165     -2.00000      0.21694      0.21816      0.00000    9.576e-06     0.00e+00
     0.03194      8.74493     -2.00000      0.21721      0.21843      0.00000    8.976e-06     0.00e+00
     0.03294      9.01821     -2.00000      0.21751      0.21873      0.00000    8.424e-06     0.00e+00
     0.03394      9.29149     -2.00000      0.21778      0.21900      0.00000    7.912e-06     0.00e+00
     0.03494      9.56477     -2.00000      0.21805      0.21927      0.00000    7.437e-06     0.00e+00
     0.03594      9.83804     -2.00000      0.21831      0.21953      0.00000    7.001e-06     0.00e+00
     0.03693     10.11130     -2.00000      0.21856      0.21978      0.00000    6.587e-06     0.00e+00
     0.03793     10.38460     -2.00000      0.21880      0.22002      0.00000    6.206e-06     0.00e+00
     0.03893     10.65790     -2.00000      0.21902      0.22025      0.00000    5.850e-06     0.00e+00
     0.03993     10.93120     -2.00000      0.21926      0.22049      0.00000    5.535e-06     0.00e+00
     0.00499      1.36640     -1.00000      0.21295      0.21415      0.00000    2.374e-04     0.00e+00
     0.00599      1.63967     -1.00000      0.21586      0.21707      0.00000    1.763e-04     0.00e+00
     0.00699      1.91295     -1.00000      0.21808      0.21930      0.00000    1.374e-04     0.00e+00
     0.00799      2.18623     -1.00000      0.21983      0.22106      0.00000    1.109e-04     0.00e+00
     0.00898      2.45951     -1.00000      0.22132      0.22255      0.00000    9.192e-05     0.00e+00
     0.00998      2.73279     -1.00000      0.22256      0.22380      0.00000    7.776e-05     0.00e+00
     0.01098      3.00607     -1.00000      0.22365      0.22489      0.00000    6.687e-05     0.00e+00
     0.01198      3.27935     -1.00000      0.22462      0.22587      0.00000    5.829e-05     0.00e+00
     0.01298      3.55263     -1.00000      0.22547      0.22672      0.00000    5.135e-05     0.00e+00
     0.01398      3.82591     -1.00000      0.22628      0.22753      0.00000    4.564e-05     0.00e+00
     0.01497      4.09918     -1.00000      0.22697      0.22823      0.00000    4.088e-05     0.00e+00
     0.01597      4.37246     -1.00000      0.22764      0.22890      0.00000    3.686e-05     0.00e+00
     0.01697      4.64574     -1.00000      0.22827      0.22953      0.00000    3.342e-05     0.00e+00
     0.01797      4.91902     -1.00000      0.22884      0.23010      0.00000    3.044e-05     0.00e+00
     0.01897      5.19230     -1.00000      0.22935      0.23062      0.00000    2.785e-05     0.00e+00
     0.01997      5.46558     -1.00000      0.22987      0.23114      0.00000    2.558e-05     0.00e+00
     0.02021      5.53390     -1.00000      0.22999      0.23126      0.00000    2.505e-05     0.00e+00
     0.02046      5.60222     -1.00000      0.23009      0.23136      0.00000    2.454e-05     0.00e+00
     0.02071      5.67054     -1.00000      0.23021      0.23148      0.00000    2.405e-05     0.00e+00
     0.02096      5.73886     -1.00000      0.23035      0.23162      0.00000    2.357e-05     0.00e+00
     0.02121      5.80718     -1.00000      0.23046      0.23173      0.00000    2.310e-05     0.00e+00
     0.02146      5.87550     -1.00000      0.23057      0.23184      0.00000    2.265e-05     0.00e+00
     0.02171      5.94382     -1.00000      0.23068      0.23195      0.00000    2.220e-05     0.00e+00
     0.02196      6.01214     -1.00000      0.23078      0.23205      0.00000    2.178e-05     0.00e+00
     0.02221      6.08046     -1.00000      0.23090      0.23217      0.00000    2.136e-05     0.00e+00
     0.02246      6.14878     -1.00000      0.23099      0.23226      0.00000    2.095e-05     0.00e+00
     0.02271      6.21710     -1.00000      0.23110      0.23237      0.00000    2.056e-05     0.00e+00
     0.02296      6.28542     -1.00000      0.23122      0.23249      0.00000    2.017e-05     0.00e+00
     0.02321      6.35374     -1.00000      0.23131      0.23258      0.00000    1.980e-05     0.00e+00
     0.02346      6.42206     -1.00000      0.23143      0.23270      0.00000    1.944e-05     0.00e+00
     0.02371      6.49038     -1.00000      0.23153      0.23280      0.00000    1.908e-05     0.00e+00
     0.02396      6.55870     -1.00000      0.23161      0.23288      0.00000    1.873e-05     0.00e+00
     0.02496      6.83198     -1.00000      0.23199      0.23327      0.00000    1.743e-05     0.00e+00
     0.02595      7.10525     -1.00000      0.23237      0.23365      0.00000    1.626e-05     0.00e+00
     0.02695      7.37853     -1.00000      0.23273      0.23401      0.00000    1.518e-05     0.00e+00
     0.02795      7.65181     -1.00000      0.23307      0.23435      0.00000    1.420e-05     0.00e+00
     0.02895      7.92509     -1.00000      0.23339      0.23467      0.00000    1.331e-05     0.00e+00
     0.02995      8.19837     -1.00000      0.23369      0.23497      0.00000    1.248e-05     0.00e+00
     0.03094      8.47165     -1.00000      0.23400      0.23528      0.00000    1.172e-05     0.00e+00
     0.03194      8.74493     -1.00000      0.23429      0.23558      0.00000    1.102e-05     0.00e+00
