#BBN prediction of the primordial Helium abundance $Y_p$ as 
#function of the baryon density $\omega_b h^2$ and number of 
#extra radiation degrees of freedom $\Delta N$.
#Calculated from PArthENoPE by Ofelia Pisanti May 2017. Errors are not given. 
#neutron lifetime of 880.2 s and CMB temperature 2.7255 K
#Yp^BBN is the BBN-standard nucleon number fraction, Yp is the mass fraction for CMB codes
#Mapping between ombh2, Yp and eta10 is not quite consistent to 0.1% level except at DeltaN=0
#      ombh2        eta10       DeltaN           Yp       Yp^BBN     sigma_Yp          D/H     err_D/H

     0.00499      1.36640     -3.00000      0.17643      0.17747      0.00000    1.605e-04     0.00e+00
     0.00599      1.63967     -3.00000      0.17896      0.18001      0.00000    1.209e-04     0.00e+00
     0.00699      1.91295     -3.00000      0.18091      0.18197      0.00000    9.531e-05     0.00e+00
     0.00799      2.18623     -3.00000      0.18251      0.18358      0.00000    7.767e-05     0.00e+00
     0.00898      2.45951     -3.00000      0.18384      0.18492      0.00000    6.488e-05     0.00e+00
     0.00998      2.73279     -3.00000      0.18502      0.18610      0.00000    5.525e-05     0.00e+00
     0.01098      3.00607     -3.00000      0.18604      0.18713      0.00000    4.777e-05     0.00e+00
     0.01198      3.27935     -3.00000      0.18694      0.18803      0.00000    4.179e-05     0.00e+00
     0.01298      3.55263     -3.00000      0.18778      0.18887      0.00000    3.695e-05     0.00e+00
     0.01398      3.82591     -3.00000      0.18852      0.18962      0.00000    3.292e-05     0.00e+00
     0.01497      4.09918     -3.00000      0.18920      0.19030      0.00000    2.954e-05     0.00e+00
     0.01597      4.37246     -3.00000      0.18984      0.19094      0.00000    2.668e-05     0.00e+00
     0.01697      4.64574     -3.00000      0.19044      0.19154      0.00000    2.421e-05     0.00e+00
     0.01797      4.91902     -3.00000      0.19100      0.19211      0.00000    2.207e-05     0.00e+00
     0.01897      5.19230     -3.00000      0.19152      0.19263      0.00000    2.019e-05     0.00e+00
     0.01997      5.46558     -3.00000      0.19200      0.19311      0.00000    1.854e-05     0.00e+00
     0.02021      5.53390     -3.00000      0.19212      0.19323      0.00000    1.816e-05     0.00e+00
     0.02046      5.60222     -3.00000      0.19225      0.19336      0.00000    1.778e-05     0.00e+00
     0.02071      5.67054     -3.00000      0.19235      0.19346      0.00000    1.742e-05     0.00e+00
     0.02096      5.73886     -3.00000      0.19246      0.19357      0.00000    1.707e-05     0.00e+00
     0.02121      5.80718     -3.00000      0.19258      0.19369      0.00000    1.674e-05     0.00e+00
     0.02146      5.87550     -3.00000      0.19269      0.19380      0.00000    1.640e-05     0.00e+00
     0.02171      5.94382     -3.00000      0.19280      0.19392      0.00000    1.608e-05     0.00e+00
     0.02196      6.01214     -3.00000      0.19291      0.19403      0.00000    1.577e-05     0.00e+00
     0.02221      6.08046     -3.00000      0.19301      0.19413      0.00000    1.546e-05     0.00e+00
     0.02246      6.14878     -3.00000      0.19311      0.19423      0.00000    1.516e-05     0.00e+00
     0.02271      6.21710     -3.00000      0.19321      0.19433      0.00000    1.487e-05     0.00e+00
     0.02296      6.28542     -3.00000      0.19332      0.19444      0.00000    1.459e-05     0.00e+00
     0.02321      6.35374     -3.00000      0.19343      0.19455      0.00000    1.432e-05     0.00e+00
     0.02346      6.42206     -3.00000      0.19352      0.19464      0.00000    1.406e-05     0.00e+00
     0.02371      6.49038     -3.00000      0.19362      0.19474      0.00000    1.380e-05     0.00e+00
     0.02396      6.55870     -3.00000      0.19373      0.19485      0.00000    1.354e-05     0.00e+00
     0.02496      6.83198     -3.00000      0.19410      0.19522      0.00000    1.258e-05     0.00e+00
     0.02595      7.10525     -3.00000      0.19448      0.19560      0.00000    1.172e-05     0.00e+00
     0.02695      7.37853     -3.00000      0.19481      0.19593      0.00000    1.092e-05     0.00e+00
     0.02795      7.65181     -3.00000      0.19514      0.19627      0.00000    1.020e-05     0.00e+00
     0.02895      7.92509     -3.00000      0.19548      0.19661      0.00000    9.542e-06     0.00e+00
     0.02995      8.19837     -3.00000      0.19578      0.19691      0.00000    8.935e-06     0.00e+00
     0.03094      8.47165     -3.00000      0.19609      0.19722      0.00000    8.375e-06     0.00e+00
     0.03194      8.74493     -3.00000      0.19638      0.19751      0.00000    7.860e-06     0.00e+00
     0.03294      9.01821     -3.00000      0.19665      0.19778      0.00000    7.382e-06     0.00e+00
     0.03394      9.29149     -3.00000      0.19693      0.19806      0.00000    6.940e-06     0.00e+00
     0.03494      9.56477     -3.00000      0.19719      0.19832      0.00000    6.530e-06     0.00e+00
     0.03594      9.83804     -3.00000      0.19744      0.19858      0.00000    6.149e-06     0.00e+00
     0.03693     10.11130     -3.00000      0.19769      0.19883      0.00000    5.794e-06     0.00e+00
     0.03793     10.38460     -3.00000      0.19792      0.19906      0.00000    5.463e-06     0.00e+00
     0.03893     10.65790     -3.00000      0.19817      0.19931      0.00000    5.154e-06     0.00e+00
     0.03993     10.93120     -3.00000      0.19838      0.19952      0.00000    4.881e-06     0.00e+00
     0.00499      1.36640     -2.00000      0.19647      0.19760      0.00000    1.989e-04     0.00e+00
     0.00599      1.63967     -2.00000      0.19920      0.20034      0.00000    1.489e-04     0.00e+00
     0.00699      1.91295     -2.00000      0.20131      0.20246      0.00000    1.168e-04     0.00e+00
     0.00799      2.18623     -2.00000      0.20300      0.20416      0.00000    9.485e-05     0.00e+00
     0.00898      2.45951     -2.00000      0.20440      0.20557      0.00000    7.903e-05     0.00e+00
     0.00998      2.73279     -2.00000      0.20562      0.20679      0.00000    6.719e-05     0.00e+00
     0.01098      3.00607     -2.00000      0.20669      0.20786      0.00000    5.804e-05     0.00e+00
     0.01198      3.27935     -2.00000      0.20763      0.20881      0.00000    5.077e-05     0.00e+00
     0.01298      3.55263     -2.00000      0.20848      0.20966      0.00000    4.489e-05     0.00e+00
