#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.136789E-09   0.415709E-14   0.000000E+00   0.352812E-12   0.501363E-07   0.109617E-08  -0.448956E-11
     3   0.129605E-09   0.534257E-14   0.000000E+00   0.395722E-12   0.609957E-07   0.109580E-08  -0.481550E-11
     4   0.122693E-09   0.464309E-14   0.000000E+00   0.371305E-12   0.702607E-07   0.106827E-08  -0.407638E-11
     5   0.117541E-09   0.310777E-14   0.000000E+00   0.316383E-12   0.782937E-07   0.103095E-08  -0.277822E-11
     6   0.114034E-09   0.174183E-14   0.000000E+00   0.254982E-12   0.853037E-07   0.991206E-09  -0.135059E-11
     7   0.111816E-09   0.940105E-15   0.000000E+00   0.200426E-12   0.914751E-07   0.952565E-09  -0.121303E-12
     8   0.110495E-09   0.603037E-15   0.000000E+00   0.158570E-12   0.969360E-07   0.915071E-09   0.700948E-12
     9   0.109889E-09   0.481380E-15   0.000000E+00   0.130143E-12   0.101796E-06   0.878251E-09   0.104079E-11
    10   0.109804E-09   0.409405E-15   0.000000E+00   0.114070E-12   0.106124E-06   0.842825E-09   0.962786E-12
    11   0.110056E-09   0.344055E-15   0.000000E+00   0.108017E-12   0.110015E-06   0.810350E-09   0.629552E-12
    12   0.110742E-09   0.300309E-15   0.000000E+00   0.109429E-12   0.113472E-06   0.780493E-09   0.213663E-12
    13   0.111606E-09   0.288100E-15   0.000000E+00   0.115138E-12   0.116596E-06   0.754186E-09  -0.163401E-12
    14   0.112628E-09   0.299281E-15   0.000000E+00   0.122300E-12   0.119378E-06   0.728777E-09  -0.431672E-12
    15   0.113665E-09   0.322915E-15   0.000000E+00   0.129891E-12   0.121892E-06   0.704444E-09  -0.545947E-12
    16   0.114957E-09   0.356322E-15   0.000000E+00   0.138124E-12   0.124149E-06   0.680162E-09  -0.489783E-12
    17   0.116484E-09   0.405234E-15   0.000000E+00   0.146662E-12   0.126151E-06   0.656645E-09  -0.304509E-12
    18   0.118092E-09   0.475525E-15   0.000000E+00   0.155337E-12   0.127957E-06   0.634909E-09  -0.873033E-13
    19   0.119883E-09   0.567679E-15   0.000000E+00   0.164577E-12   0.129573E-06   0.614320E-09   0.584013E-13
    20   0.121640E-09   0.678666E-15   0.000000E+00   0.173703E-12   0.131001E-06   0.595331E-09   0.849397E-13
    21   0.123457E-09   0.807618E-15   0.000000E+00   0.183328E-12   0.132267E-06   0.577141E-09   0.183404E-13
    22   0.125338E-09   0.956008E-15   0.000000E+00   0.193497E-12   0.133391E-06   0.559847E-09  -0.806355E-13
    23   0.127231E-09   0.112278E-14   0.000000E+00   0.203858E-12   0.134381E-06   0.543533E-09  -0.165155E-12
    24   0.129179E-09   0.130754E-14   0.000000E+00   0.213959E-12   0.135242E-06   0.527741E-09  -0.225427E-12
    25   0.131200E-09   0.151091E-14   0.000000E+00   0.222745E-12   0.135992E-06   0.513004E-09  -0.270653E-12
    26   0.133228E-09   0.173455E-14   0.000000E+00   0.230700E-12   0.136638E-06   0.498884E-09  -0.301329E-12
    27   0.135318E-09   0.197994E-14   0.000000E+00   0.237938E-12   0.137187E-06   0.485187E-09  -0.302868E-12
    28   0.137447E-09   0.224627E-14   0.000000E+00   0.243824E-12   0.137646E-06   0.472260E-09  -0.259384E-12
    29   0.139604E-09   0.253704E-14   0.000000E+00   0.249033E-12   0.138022E-06   0.459431E-09  -0.177393E-12
    30   0.141815E-09   0.285607E-14   0.000000E+00   0.252666E-12   0.138321E-06   0.447694E-09  -0.896999E-13
    31   0.143999E-09   0.320292E-14   0.000000E+00   0.256178E-12   0.138520E-06   0.436077E-09  -0.376758E-13
    32   0.146265E-09   0.357980E-14   0.000000E+00   0.258891E-12   0.138668E-06   0.425165E-09  -0.490318E-13
    33   0.148542E-09   0.398124E-14   0.000000E+00   0.260601E-12   0.138754E-06   0.414796E-09  -0.116811E-12
    34   0.150827E-09   0.441059E-14   0.000000E+00   0.261449E-12   0.138784E-06   0.404599E-09  -0.207283E-12
